sitename,county,aqi,status,pm2.5,datacreationdate,longitude,latitude
屏東(枋山),屏東縣,77,臭氧八小時,普通,0.4,0.21,42.3
宜蘭（頭城）,宜蘭縣,33,,良好,0,0.2,34.9
新北(樹林),新北市,30,,良好,0.7,0.32,29.6
屏東（琉球）,屏東縣,71,臭氧八小時,普通,1.5,0.35,60.5
臺南（麻豆）,臺南市,59,懸浮微粒,普通,1.3,0.27,32.8
高雄（湖內）,高雄市,59,細懸浮微粒,普通,1.7,0.34,38.9
彰化（員林）,彰化縣,35,,良好,1.4,0.37,25.4
大城,彰化縣,50,,良好,0.6,0.17,44.4
富貴角,新北市,51,臭氧八小時,普通,0.4,0.13,58.1
麥寮,雲林縣,47,,良好,1.7,0.22,41.4
關山,臺東縣,36,,良好,1.3,0.21,37.3
馬公,澎湖縣,46,,良好,1.9,0.19,51.9
金門,金門縣,55,細懸浮微粒,普通,0.9,0.38,35.8
馬祖,連江縣,64,細懸浮微粒,普通,0.7,0.26,51.8
埔里,南投縣,59,細懸浮微粒,普通,1.4,0.31,36.6
復興,高雄市,81,細懸浮微粒,普通,1.3,0.57,41.1
永和,新北市,42,,良好,2,0.37,38.7
竹山,南投縣,49,,良好,1.3,0.32,20.8
中壢,桃園市,46,,良好,0.7,0.91,22.6
三重,新北市,60,二氧化氮,普通,0.9,1.17,9.4
冬山,宜蘭縣,33,,良好,0.8,0.21,37.6
宜蘭,宜蘭縣,33,,良好,0.8,0.22,38.3
陽明,臺北市,46,,良好,0.5,0.19,52.3
花蓮,花蓮縣,40,,良好,1.5,0.26,44.1
臺東,臺東縣,39,,良好,0.9,0.26,38.9
恆春,屏東縣,44,,良好,0.5,0.23,47.9
潮州,屏東縣,104,臭氧八小時,對敏感族群不健康,1.5,0.35,65
屏東,屏東縣,95,細懸浮微粒,普通,2.1,0.6,47
小港,高雄市,73,細懸浮微粒,普通,1.6,0.35,52.7
前鎮,高雄市,77,細懸浮微粒,普通,2.2,0.58,40.3
前金,高雄市,77,臭氧八小時,普通,0.5,0.4,45.2
左營,高雄市,77,臭氧八小時,普通,1.9,0.42,43.2
楠梓,高雄市,67,細懸浮微粒,普通,1.6,0.43,39.7
林園,高雄市,112,臭氧八小時,對敏感族群不健康,1.8,0.31,70.4
大寮,高雄市,79,細懸浮微粒,普通,1.2,0.35,58
鳳山,高雄市,80,細懸浮微粒,普通,1.4,1.05,34.8
仁武,高雄市,80,細懸浮微粒,普通,1.2,0.48,35.2
橋頭,高雄市,78,細懸浮微粒,普通,2,0.45,36.8
美濃,高雄市,67,細懸浮微粒,普通,2,0.37,48.7
臺南,臺南市,54,細懸浮微粒,普通,1.5,0.35,38.7
安南,臺南市,62,細懸浮微粒,普通,1,0.31,40.3
善化,臺南市,60,細懸浮微粒,普通,1.8,0.32,32.8
新營,臺南市,68,懸浮微粒,普通,2.2,0.36,29.2
嘉義,嘉義市,57,細懸浮微粒,普通,4.5,0.43,24
臺西,雲林縣,48,,良好,1.4,0.2,42.4
朴子,嘉義縣,47,,良好,2,0.27,36.6
新港,嘉義縣,70,懸浮微粒,普通,3.5,0.29,33
崙背,雲林縣,87,懸浮微粒,普通,2.3,0.35,30.2
斗六,雲林縣,50,,良好,1.3,0.34,26.1
南投,南投縣,33,,良好,1.6,0.38,20.4
二林,彰化縣,40,,良好,2.2,0.29,35.5
線西,彰化縣,40,,良好,1,0.19,38.3
彰化,彰化縣,34,,良好,0.6,0.34,29.8
西屯,臺中市,37,,良好,1.1,0.24,34.1
忠明,臺中市,31,,良好,1.6,0.36,27.1
大里,臺中市,29,,良好,1.5,0.42,21.4
沙鹿,臺中市,40,,良好,1.2,0.24,38.3
豐原,臺中市,31,,良好,0.5,0.25,28.2
三義,苗栗縣,37,,良好,1.2,0.22,37.1
苗栗,苗栗縣,37,,良好,2.1,0.25,41.4
頭份,苗栗縣,40,,良好,0.9,0.25,42.8
新竹,新竹市,37,,良好,1.7,0.32,38.8
竹東,新竹縣,40,,良好,0.1,0.17,45.7
湖口,新竹縣,37,,良好,1.4,0.23,44.2
龍潭,桃園市,37,,良好,1.2,0.22,44
平鎮,桃園市,37,,良好,0.9,0.44,35
觀音,桃園市,47,,良好,1.1,0.18,46
大園,桃園市,42,,良好,1.1,0.21,42.2
桃園,桃園市,40,,良好,1.7,0.42,35.3
大同,臺北市,58,二氧化氮,普通,1.1,1.37,10.5
松山,臺北市,40,,良好,1.3,0.32,25.9
古亭,臺北市,40,,良好,2.5,0.25,40
萬華,臺北市,47,,良好,1.5,0.49,21.5
中山,臺北市,50,,良好,,0.58,21.3
士林,臺北市,41,,良好,0.8,0.24,46.8
淡水,新北市,41,,良好,1.3,0.61,44.6
林口,新北市,30,,良好,1.5,0.3,36.9
菜寮,新北市,37,,良好,0.6,0.43,33.9
新莊,新北市,43,,良好,0.9,0.38,34.5
板橋,新北市,34,,良好,1.1,0.43,34.4
土城,新北市,34,,良好,0.7,0.33,40.5
新店,新北市,42,,良好,0.6,0.3,38.1
萬里,新北市,49,,良好,0.7,0.17,56.1
汐止,新北市,42,,良好,0,0.3,32.9
基隆,基隆市,43,,良好,1,0.2,50.9
屏東(枋山),屏東縣,77,臭氧八小時,普通,0.4,0.21,42.3
宜蘭（頭城）,宜蘭縣,33,,良好,0,0.2,34.9
新北(樹林),新北市,30,,良好,0.7,0.32,29.6
屏東（琉球）,屏東縣,71,臭氧八小時,普通,1.5,0.35,60.5
臺南（麻豆）,臺南市,59,懸浮微粒,普通,1.3,0.27,32.8
高雄（湖內）,高雄市,59,細懸浮微粒,普通,1.7,0.34,38.9
彰化（員林）,彰化縣,35,,良好,1.4,0.37,25.4
大城,彰化縣,50,,良好,0.6,0.17,44.4
富貴角,新北市,51,臭氧八小時,普通,0.4,0.13,58.1
麥寮,雲林縣,47,,良好,1.7,0.22,41.4
關山,臺東縣,36,,良好,1.3,0.21,37.3
馬公,澎湖縣,46,,良好,1.9,0.19,51.9
金門,金門縣,55,細懸浮微粒,普通,0.9,0.38,35.8
馬祖,連江縣,64,細懸浮微粒,普通,0.7,0.26,51.8
埔里,南投縣,59,細懸浮微粒,普通,1.4,0.31,36.6
復興,高雄市,81,細懸浮微粒,普通,1.3,0.57,41.1
永和,新北市,42,,良好,2,0.37,38.7
竹山,南投縣,49,,良好,1.3,0.32,20.8
中壢,桃園市,46,,良好,0.7,0.91,22.6
三重,新北市,60,二氧化氮,普通,0.9,1.17,9.4
冬山,宜蘭縣,33,,良好,0.8,0.21,37.6
宜蘭,宜蘭縣,33,,良好,0.8,0.22,38.3
陽明,臺北市,46,,良好,0.5,0.19,52.3
花蓮,花蓮縣,40,,良好,1.5,0.26,44.1
臺東,臺東縣,39,,良好,0.9,0.26,38.9
恆春,屏東縣,44,,良好,0.5,0.23,47.9
潮州,屏東縣,104,臭氧八小時,對敏感族群不健康,1.5,0.35,65
屏東,屏東縣,95,細懸浮微粒,普通,2.1,0.6,47
小港,高雄市,73,細懸浮微粒,普通,1.6,0.35,52.7
前鎮,高雄市,77,細懸浮微粒,普通,2.2,0.58,40.3
前金,高雄市,77,臭氧八小時,普通,0.5,0.4,45.2
左營,高雄市,77,臭氧八小時,普通,1.9,0.42,43.2
楠梓,高雄市,67,細懸浮微粒,普通,1.6,0.43,39.7
林園,高雄市,112,臭氧八小時,對敏感族群不健康,1.8,0.31,70.4
大寮,高雄市,79,細懸浮微粒,普通,1.2,0.35,58
鳳山,高雄市,80,細懸浮微粒,普通,1.4,1.05,34.8
仁武,高雄市,80,細懸浮微粒,普通,1.2,0.48,35.2
橋頭,高雄市,78,細懸浮微粒,普通,2,0.45,36.8
美濃,高雄市,67,細懸浮微粒,普通,2,0.37,48.7
臺南,臺南市,54,細懸浮微粒,普通,1.5,0.35,38.7
安南,臺南市,62,細懸浮微粒,普通,1,0.31,40.3
善化,臺南市,60,細懸浮微粒,普通,1.8,0.32,32.8
新營,臺南市,68,懸浮微粒,普通,2.2,0.36,29.2
嘉義,嘉義市,57,細懸浮微粒,普通,4.5,0.43,24
臺西,雲林縣,48,,良好,1.4,0.2,42.4
朴子,嘉義縣,47,,良好,2,0.27,36.6
新港,嘉義縣,70,懸浮微粒,普通,3.5,0.29,33
崙背,雲林縣,87,懸浮微粒,普通,2.3,0.35,30.2
斗六,雲林縣,50,,良好,1.3,0.34,26.1
南投,南投縣,33,,良好,1.6,0.38,20.4
二林,彰化縣,40,,良好,2.2,0.29,35.5
線西,彰化縣,40,,良好,1,0.19,38.3
彰化,彰化縣,34,,良好,0.6,0.34,29.8
西屯,臺中市,37,,良好,1.1,0.24,34.1
忠明,臺中市,31,,良好,1.6,0.36,27.1
大里,臺中市,29,,良好,1.5,0.42,21.4
沙鹿,臺中市,40,,良好,1.2,0.24,38.3
豐原,臺中市,31,,良好,0.5,0.25,28.2
三義,苗栗縣,37,,良好,1.2,0.22,37.1
苗栗,苗栗縣,37,,良好,2.1,0.25,41.4
頭份,苗栗縣,40,,良好,0.9,0.25,42.8
新竹,新竹市,37,,良好,1.7,0.32,38.8
竹東,新竹縣,40,,良好,0.1,0.17,45.7
湖口,新竹縣,37,,良好,1.4,0.23,44.2
龍潭,桃園市,37,,良好,1.2,0.22,44
平鎮,桃園市,37,,良好,0.9,0.44,35
觀音,桃園市,47,,良好,1.1,0.18,46
大園,桃園市,42,,良好,1.1,0.21,42.2
桃園,桃園市,40,,良好,1.7,0.42,35.3
大同,臺北市,58,二氧化氮,普通,1.1,1.37,10.5
松山,臺北市,40,,良好,1.3,0.32,25.9
古亭,臺北市,40,,良好,2.5,0.25,40
萬華,臺北市,47,,良好,1.5,0.49,21.5
中山,臺北市,50,,良好,,0.58,21.3
士林,臺北市,41,,良好,0.8,0.24,46.8
淡水,新北市,41,,良好,1.3,0.61,44.6
林口,新北市,30,,良好,1.5,0.3,36.9
菜寮,新北市,37,,良好,0.6,0.43,33.9
新莊,新北市,43,,良好,0.9,0.38,34.5
板橋,新北市,34,,良好,1.1,0.43,34.4
土城,新北市,34,,良好,0.7,0.33,40.5
新店,新北市,42,,良好,0.6,0.3,38.1
萬里,新北市,49,,良好,0.7,0.17,56.1
汐止,新北市,42,,良好,0,0.3,32.9
基隆,基隆市,43,,良好,1,0.2,50.9
屏東(枋山),屏東縣,84,臭氧八小時,普通,0.6,0.25,51.3
宜蘭（頭城）,宜蘭縣,33,,良好,0,0.27,24.2
新北(樹林),新北市,37,,良好,1,0.45,25
屏東（琉球）,屏東縣,68,細懸浮微粒,普通,1.5,0.37,60.1
臺南（麻豆）,臺南市,57,懸浮微粒,普通,1.1,0.26,41.4
高雄（湖內）,高雄市,60,細懸浮微粒,普通,1.7,0.34,49.3
彰化（員林）,彰化縣,36,,良好,1.4,0.35,28.7
大城,彰化縣,50,,良好,0.7,0.17,46.8
富貴角,新北市,50,,良好,0.4,0.15,58
麥寮,雲林縣,47,,良好,1.7,0.23,44.1
關山,臺東縣,36,,良好,1.4,0.21,38.3
馬公,澎湖縣,45,,良好,1.7,0.2,51.6
金門,金門縣,51,細懸浮微粒,普通,0.8,0.4,35.4
馬祖,連江縣,65,細懸浮微粒,普通,0.8,0.28,51.2
埔里,南投縣,55,細懸浮微粒,普通,1.3,0.31,38.2
復興,高雄市,82,細懸浮微粒,普通,1.2,0.45,56.6
永和,新北市,39,,良好,1.8,0.4,36.3
竹山,南投縣,51,細懸浮微粒,普通,1.3,0.3,28.3
中壢,桃園市,50,,良好,1,1.06,20
三重,新北市,58,二氧化氮,普通,0.8,1.2,14.2
冬山,宜蘭縣,32,,良好,0.8,0.2,35.6
宜蘭,宜蘭縣,33,,良好,0.9,0.28,38.2
陽明,臺北市,45,,良好,0.6,0.2,53.1
花蓮,花蓮縣,40,,良好,1.4,0.28,43.1
臺東,臺東縣,40,,良好,0.9,0.26,41
恆春,屏東縣,44,,良好,0.2,0.24,48.4
潮州,屏東縣,97,臭氧八小時,普通,1.6,0.36,71.6
屏東,屏東縣,94,細懸浮微粒,普通,,,62.2
小港,高雄市,73,細懸浮微粒,普通,2,0.36,52.9
前鎮,高雄市,75,細懸浮微粒,普通,2.1,0.53,55.4
前金,高雄市,71,臭氧八小時,普通,0.3,0.38,
左營,高雄市,71,臭氧八小時,普通,1.7,0.35,52
楠梓,高雄市,67,細懸浮微粒,普通,1.3,0.44,47.4
林園,高雄市,100,臭氧八小時,普通,1.9,0.35,78.3
大寮,高雄市,82,細懸浮微粒,普通,1.4,0.41,60.8
鳳山,高雄市,77,細懸浮微粒,普通,1.5,1.08,47.7
仁武,高雄市,78,細懸浮微粒,普通,1,0.42,51.4
橋頭,高雄市,80,細懸浮微粒,普通,1.8,0.49,44.3
美濃,高雄市,66,細懸浮微粒,普通,2.1,0.39,55.7
臺南,臺南市,56,細懸浮微粒,普通,1.3,0.37,47.3
安南,臺南市,61,細懸浮微粒,普通,1.2,0.34,48.6
善化,臺南市,59,細懸浮微粒,普通,1.9,0.27,43.3
新營,臺南市,67,懸浮微粒,普通,2.1,0.33,37.6
嘉義,嘉義市,57,細懸浮微粒,普通,3.9,0.44,31
臺西,雲林縣,48,,良好,1.4,0.2,45.1
朴子,嘉義縣,52,懸浮微粒,普通,2.1,0.29,40.8
新港,嘉義縣,74,懸浮微粒,普通,3.2,0.3,36.7
崙背,雲林縣,96,懸浮微粒,普通,2.5,0.32,33.2
斗六,雲林縣,49,,良好,1.4,0.36,29.2
南投,南投縣,37,,良好,1.9,0.44,21
二林,彰化縣,45,,良好,3.4,0.36,36.6
線西,彰化縣,40,,良好,1.5,0.25,37.3
彰化,彰化縣,34,,良好,0.6,0.38,27.3
西屯,臺中市,37,,良好,1,0.25,33.8
忠明,臺中市,31,,良好,1.4,0.35,26.2
大里,臺中市,30,,良好,1.4,0.37,25.4
沙鹿,臺中市,41,,良好,1.2,0.25,38.1
豐原,臺中市,31,,良好,,0.26,29.4
三義,苗栗縣,37,,良好,1.2,0.22,36.8
苗栗,苗栗縣,37,,良好,2.1,0.27,39.3
頭份,苗栗縣,40,,良好,1.1,0.24,42.1
新竹,新竹市,37,,良好,1.6,0.28,39.6
竹東,新竹縣,39,,良好,0.1,0.18,44.4
湖口,新竹縣,36,,良好,1.2,0.24,41.4
龍潭,桃園市,36,,良好,1.2,0.24,41.6
平鎮,桃園市,36,,良好,0.9,0.42,34.7
觀音,桃園市,47,,良好,1,0.2,42
大園,桃園市,42,,良好,1.3,0.22,41.4
桃園,桃園市,38,,良好,1.4,0.44,33.7
大同,臺北市,59,二氧化氮,普通,1,1.27,11.6
松山,臺北市,41,,良好,1.3,0.34,25
古亭,臺北市,40,,良好,2.5,0.28,35.8
萬華,臺北市,38,,良好,1.4,0.41,27.1
中山,臺北市,43,,良好,,0.46,29.1
士林,臺北市,40,,良好,0.8,0.25,46.7
淡水,新北市,40,,良好,1.3,0.42,43.9
林口,新北市,29,,良好,1.5,0.29,34.4
菜寮,新北市,36,,良好,0.6,0.39,37.4
新莊,新北市,42,,良好,0.8,0.37,35.2
板橋,新北市,34,,良好,1,0.4,35.6
土城,新北市,35,,良好,0.8,0.33,39
新店,新北市,40,,良好,0.6,0.32,35.5
萬里,新北市,47,,良好,0.7,0.18,55.6
汐止,新北市,41,,良好,0,0.33,27.9
基隆,基隆市,42,,良好,1.1,0.22,49.3
屏東(枋山),屏東縣,84,臭氧八小時,普通,0.6,0.25,51.3
宜蘭（頭城）,宜蘭縣,33,,良好,0,0.27,24.2
新北(樹林),新北市,37,,良好,1,0.45,25
屏東（琉球）,屏東縣,68,細懸浮微粒,普通,1.5,0.37,60.1
臺南（麻豆）,臺南市,57,懸浮微粒,普通,1.1,0.26,41.4
高雄（湖內）,高雄市,60,細懸浮微粒,普通,1.7,0.34,49.3
彰化（員林）,彰化縣,36,,良好,1.4,0.35,28.7
大城,彰化縣,50,,良好,0.7,0.17,46.8
富貴角,新北市,50,,良好,0.4,0.15,58
麥寮,雲林縣,47,,良好,1.7,0.23,44.1
關山,臺東縣,36,,良好,1.4,0.21,38.3
馬公,澎湖縣,45,,良好,1.7,0.2,51.6
金門,金門縣,51,細懸浮微粒,普通,0.8,0.4,35.4
馬祖,連江縣,65,細懸浮微粒,普通,0.8,0.28,51.2
埔里,南投縣,55,細懸浮微粒,普通,1.3,0.31,38.2
復興,高雄市,82,細懸浮微粒,普通,1.2,0.45,56.6
永和,新北市,39,,良好,1.8,0.4,36.3
竹山,南投縣,51,細懸浮微粒,普通,1.3,0.3,28.3
中壢,桃園市,50,,良好,1,1.06,20
三重,新北市,58,二氧化氮,普通,0.8,1.2,14.2
冬山,宜蘭縣,32,,良好,0.8,0.2,35.6
宜蘭,宜蘭縣,33,,良好,0.9,0.28,38.2
陽明,臺北市,45,,良好,0.6,0.2,53.1
花蓮,花蓮縣,40,,良好,1.4,0.28,43.1
臺東,臺東縣,40,,良好,0.9,0.26,41
恆春,屏東縣,44,,良好,0.2,0.24,48.4
潮州,屏東縣,97,臭氧八小時,普通,1.6,0.36,71.6
屏東,屏東縣,94,細懸浮微粒,普通,,,62.2
小港,高雄市,73,細懸浮微粒,普通,2,0.36,52.9
前鎮,高雄市,75,細懸浮微粒,普通,2.1,0.53,55.4
前金,高雄市,71,臭氧八小時,普通,0.3,0.38,
左營,高雄市,71,臭氧八小時,普通,1.7,0.35,52
楠梓,高雄市,67,細懸浮微粒,普通,1.3,0.44,47.4
林園,高雄市,100,臭氧八小時,普通,1.9,0.35,78.3
大寮,高雄市,82,細懸浮微粒,普通,1.4,0.41,60.8
鳳山,高雄市,77,細懸浮微粒,普通,1.5,1.08,47.7
仁武,高雄市,78,細懸浮微粒,普通,1,0.42,51.4
橋頭,高雄市,80,細懸浮微粒,普通,1.8,0.49,44.3
美濃,高雄市,66,細懸浮微粒,普通,2.1,0.39,55.7
臺南,臺南市,56,細懸浮微粒,普通,1.3,0.37,47.3
安南,臺南市,61,細懸浮微粒,普通,1.2,0.34,48.6
善化,臺南市,59,細懸浮微粒,普通,1.9,0.27,43.3
新營,臺南市,67,懸浮微粒,普通,2.1,0.33,37.6
嘉義,嘉義市,57,細懸浮微粒,普通,3.9,0.44,31
臺西,雲林縣,48,,良好,1.4,0.2,45.1
朴子,嘉義縣,52,懸浮微粒,普通,2.1,0.29,40.8
新港,嘉義縣,74,懸浮微粒,普通,3.2,0.3,36.7
崙背,雲林縣,96,懸浮微粒,普通,2.5,0.32,33.2
斗六,雲林縣,49,,良好,1.4,0.36,29.2
南投,南投縣,37,,良好,1.9,0.44,21
二林,彰化縣,45,,良好,3.4,0.36,36.6
線西,彰化縣,40,,良好,1.5,0.25,37.3
彰化,彰化縣,34,,良好,0.6,0.38,27.3
西屯,臺中市,37,,良好,1,0.25,33.8
忠明,臺中市,31,,良好,1.4,0.35,26.2
大里,臺中市,30,,良好,1.4,0.37,25.4
沙鹿,臺中市,41,,良好,1.2,0.25,38.1
豐原,臺中市,31,,良好,,0.26,29.4
三義,苗栗縣,37,,良好,1.2,0.22,36.8
苗栗,苗栗縣,37,,良好,2.1,0.27,39.3
頭份,苗栗縣,40,,良好,1.1,0.24,42.1
新竹,新竹市,37,,良好,1.6,0.28,39.6
竹東,新竹縣,39,,良好,0.1,0.18,44.4
湖口,新竹縣,36,,良好,1.2,0.24,41.4
龍潭,桃園市,36,,良好,1.2,0.24,41.6
平鎮,桃園市,36,,良好,0.9,0.42,34.7
觀音,桃園市,47,,良好,1,0.2,42
大園,桃園市,42,,良好,1.3,0.22,41.4
桃園,桃園市,38,,良好,1.4,0.44,33.7
大同,臺北市,59,二氧化氮,普通,1,1.27,11.6
松山,臺北市,41,,良好,1.3,0.34,25
